order_line_id,prescription_code
OL_fe1e08f342cb8505,D3230050Z
OL_d8d35a7c751232bc,D3230060Z
OL_4d64b66d82b135b4,D3250010Z
OL_f1fd1b5faa871d6e,D4062020Z
OL_6a78da72214b7068,D0013
OL_b9ed111651cbed7e,EOS
OL_cbc2effa9459d82b,D0002040
OL_c1779cb1b718cb30,D0002050
OL_472fac5bb69f17db,LYM
OL_09c90fea5804c8cf,MCH
OL_1dd56c00afdca209,MCHC
OL_07a4336aa7900811,MCV
OL_01b2c236e9a04e63,MON
OL_393698de1bad4509,NEU
OL_55d51a293d5fd03a,D0002070
OL_aff74b40bca990e7,D0002030
OL_21f9f9467ccb41ec,UB
OL_31351718366787d7,UE
OL_e8eb2c078801992f,D2202
OL_1eaf3af7e33f60af,UO
OL_42f414e53daaebde,UR
OL_dbaa4b7df2bab59f,URI1
OL_95591f399686ba69,URI10
OL_4957623f93d4bac7,URI2
OL_382cc4ad4f20c294,URI3
OL_5275e1d53e3dd868,URI4
OL_babb0d09acdb3f2e,URI5
OL_410b52e0d189e7b2,URI6
OL_82bd82f0db90a59a,URI7
OL_7b7a8b5eef49f1ea,URI8
OL_a4b698f68e4d5df3,URI9
OL_1b4a676a0e7bb1be,UW
OL_953c2decf358dbc9,D0002010
OL_079b2c8a144a95e4,AA154
OL_d8ff898d20516ec4,BAS
OL_9a71037f7c844917,D0113
OL_bed1d13ac224637d,D1830
OL_7f9338baa4b05e18,D1840
OL_477919904ac8ecfc,D1850
OL_d40c121b87167d77,D1860
OL_04ca02532d9e4b12,D1870
OL_8275ca2730747581,D1880
OL_ce4a72e1d7fc55ab,D1890
OL_2d5aead1587d6028,D2263
OL_7534b27f488bb6bb,D2280
OL_c895be0290cca549,D2300
OL_eb8003f02aef4922,D2310
OL_b1b4151df30f1355,D2611
OL_881de5521a5603ca,D2613
OL_23b6b348faa8b805,D2800020
OL_783b35f492791e99,D2800030
OL_11c96441c649b2a1,D2800060
OL_922dec0aa22602b7,D3022
OL_c17f19ae21065e2f,D3230050Z
OL_6ca0398364a8b5dd,D3250010Z
OL_90e9d6d3a65ab895,D0013
OL_3fe0230f9c700f99,EOS
OL_ab8e019fb8a34d1c,D3063
OL_bbb73b2c92de1855,D0002040
OL_a48f48d9c89d5914,D0002050
OL_1bf78aa34aa4da14,LYM
OL_d37e7f35c1620484,MCH
OL_4dc2bd2930965f4b,MCHC
OL_7f98ee4afa106f3f,MCV
OL_985c50188f2a897f,MON
OL_e701197e4cd095f0,NEU
OL_059a5039db5ef2a9,D0002070
OL_a58390bcdfe1935d,D0002030
OL_9c77bacc6cb148c5,D0002010
OL_a201b234ef0d51cf,AA154
OL_075a551f271b3254,642201350
OL_3be58ffc819a2e71,AA254080
OL_a46f4c7c92080f3f,AAA
OL_34a9f5693168f9bd,652100200
OL_80bcf374e8751cb3,628900520
OL_010d2f555b1cdcc6,648900610
OL_706ba434c14acb4e,669800160
OL_51199e0383bfee26,AAA
OL_68d6837b05dd2606,2CHOK20
OL_b476bfdaaa4bbd6d,KK010
OL_d2abaa90792deee9,645902651
OL_b74b5ce3ede4bb77,AA254090
OL_2da01589861b18b5,AA254
OL_38b4b1849875825a,IC001
OL_3a9ca9545cde4fda,661904570
OL_ca84bf68ac65eb2b,628900220
OL_e7441aff18c587d9,641607171
OL_0c4c2fc193f0740e,AA254090
OL_c184b0e9630df7a2,628900060
OL_c0c25b27fb2cb9b3,628900330
OL_b647b86802fad7f3,628901340
OL_9dbff7b76d3a6475,628901730
OL_ac11bd052a2c7f34,628901970
OL_32ee7750d4fd6aec,628902030
OL_fc87b25cce2a9366,647304570
